País,Departamento,Ciudad,Localidad,Zona / barrio,Estado,Área Construida,Área Terreno,Alcobas,Baño,Garaje,Estrato,Piso,Año construcción,Tipo de inmueble,Tipo de negocio,Valor Administración,URL,Título,Precio,Fecha extracción,Sección
Colombia,Cundinamarca,Bogotá D.C.,Engativá,Las Ferias,Usado,60 m²,60 m²,,1.0,,3,,1982,Local,Alquiler,,https://bogotarealestate.com.co/local-alquiler-las-ferias-bogota-dc/9598213,ARRIENDO LOCAL BARRIO LAS FERIAS,$1.500.000COP,2025-11-08 23:42,Alquileres
Colombia,Cundinamarca,Bogotá D.C.,Engativá,Las Ferias,Usado,130 m²,130 m²,,1.0,,3,,1982,Local,Alquiler,,https://bogotarealestate.com.co/local-alquiler-las-ferias-bogota-dc/9598153,ARRIENDO LOCAL BARRIO LAS FERIAS,$3.500.000COP,2025-11-08 23:42,Alquileres
Colombia,Cundinamarca,Bogotá D.C.,Suba,San Cipriano,Usado,60 m²,60 m²,3.0,,1.0,3,,2010,Apartamento,Alquiler,,https://bogotarealestate.com.co/apartamento-alquiler-san-cipriano-bogota-dc/9588591,ARRIENDO APARTAMENTO EN SANTA CAROLINA,$1.700.000COP,2025-11-08 23:42,Alquileres
Colombia,Cundinamarca,Bogotá D.C.,Usaquén,San Patricio,Usado,122 m²,122 m²,2.0,,2.0,6,,2015,Apartamento,Alquiler,,https://bogotarealestate.com.co/apartamento-alquiler-san-patricio-bogota-dc/9581063,ARRIENDO APARTAMENTO SAN PATRICIO,$6.600.000COP,2025-11-08 23:43,Alquileres
Colombia,Cundinamarca,Bogotá D.C.,Suba,Villa Del Prado,Usado,35 m²,35 m²,1.0,1.0,,3,,2022,Apartamento,Alquiler,,https://bogotarealestate.com.co/apartamento-alquiler-villa-del-prado-bogota-dc/9571730,ARRIENDO APARTAMENTO EN  VILLA DEL PRADO,$1.500.000COP,2025-11-08 23:43,Alquileres
Colombia,Cundinamarca,Bogotá D.C.,Usaquén,San Patricio,Usado,110 m²,110 m²,2.0,,2.0,6,,2005,Apartamento,Alquiler,,https://bogotarealestate.com.co/apartamento-alquiler-san-patricio-bogota-dc/9549730,SE ARRIENDA APARTAMENTO EN SAN PATRICIO,$5.900.000COP,2025-11-08 23:43,Alquileres
Colombia,Cundinamarca,Bogotá D.C.,Usaquén,Santa Bárbara,Usado,74 m²,74 m²,2.0,,2.0,6,,1998,Apartamento,Alquiler,,https://bogotarealestate.com.co/apartamento-alquiler-santa-barbara-bogota-dc/9521299,ARRIENDO APARTAMENTO EN SANTA BARBARA,$3.500.000COP,2025-11-08 23:43,Alquileres
Colombia,Cundinamarca,Bogotá D.C.,Usaquén,Cedritos,Usado,43 m²,43 m²,1.0,1.0,1.0,4,,2015,Apartaestudio,Alquiler,,https://bogotarealestate.com.co/apartaestudio-alquiler-cedritos-bogota-dc/9432698,ARRIENDO APARTA ESTUDIO EN CEDRITOS,$2.100.000COP,2025-11-08 23:43,Alquileres
Colombia,Cundinamarca,Bogotá D.C.,Barrios Unidos,La Catellana,Usado,23 m²,23 m²,1.0,1.0,,5,,2025,Apartaestudio,Alquiler,,https://bogotarealestate.com.co/apartaestudio-alquiler-la-catellana-bogota-dc/9403623,ARRIENDO APARTAESTUDIO - LA CASTELLANA,$2.500.000COP,2025-11-08 23:43,Alquileres
Colombia,Cundinamarca,La Calera,,Centro,Usado,80 m²,80 m²,3.0,,1.0,4,,2025,Apartamento,Alquiler,,https://bogotarealestate.com.co/apartamento-alquiler-centro-la-calera/9379793,ARRIENDO APARTAMENTO LA CALERA,$3.300.000COP,2025-11-08 23:43,Alquileres
Colombia,Cundinamarca,Bogotá D.C.,Usaquén,Belmira,Usado,25 m²,25 m²,1.0,,1.0,4,,2018,Oficina,Alquiler,,https://bogotarealestate.com.co/oficina-alquiler-belmira-bogota-dc/9324131,ARRIENDO OFICINA BELMIRA,$1.700.000COP,2025-11-08 23:44,Alquileres
Colombia,Cundinamarca,Bogotá D.C.,Suba,Lagos De Torca,Usado,46 m²,46 m²,2.0,1.0,,3,,2025,Apartamento,Alquiler,,https://bogotarealestate.com.co/apartamento-alquiler-lagos-de-torca-bogota-dc/9275974,ARRIENDO APARTAMENTO CONJUTO GIRASOL,$1.480.000COP,2025-11-08 23:44,Alquileres
Colombia,Cundinamarca,Bogotá D.C.,Chapinero,Chicó,Usado,333 m²,333 m²,,,6.0,5,,1996,Oficina,Alquiler,,https://bogotarealestate.com.co/oficina-alquiler-chico-bogota-dc/9166777,ARRIENDO OFICINA AMOBLADA EN EL CHICO,$26.000.000COP,2025-11-08 23:44,Alquileres
Colombia,Cundinamarca,Bogotá D.C.,Engativá,Los Cerezos..,Usado,427 m²,304 m²,,,,3,,1995,Bodega,Alquiler,,https://bogotarealestate.com.co/bodega-alquiler-los-cerezos-bogota-dc/8574295,ARRIENDO BODEGA EN EL BARRIO LOS CEREZOS,$11.500.000COP,2025-11-08 23:44,Alquileres
Colombia,Cundinamarca,Bogotá D.C.,Los Mártires,El Sociego,Usado,1011 m²,264 m²,3.0,,2.0,3,,1985,Edificio,Alquiler,,https://bogotarealestate.com.co/edificio-alquiler-el-sociego-bogota-dc/8515101,ARRIEDO EDIFICIO EL SOSIEGO,$16.000.000COP,2025-11-08 23:44,Alquileres
Colombia,Cundinamarca,Bogotá D.C.,Usaquén,Usaquén,Usado,118 m²,118 m²,1.0,,3.0,5,,2010,Oficina,Alquiler,$1.315.000,https://bogotarealestate.com.co/oficina-alquiler-usaquen-bogota-dc/8152778,SE RENTA OFICINA EN CENTRO EMPRESARIAL 128,$10.000.000COP,2025-11-08 23:44,Alquileres
Colombia,Cundinamarca,Bogotá D.C.,Usaquén,Cedritos,Usado,275 m²,275 m²,,,5.0,4,,2013,Oficina,Alquiler,$1.736.100,https://bogotarealestate.com.co/oficina-alquiler-cedritos-bogota-dc/7563280,ARRIENDO OFICINA EDIFICIO NORTH POINT,$13.750.000COP,2025-11-08 23:45,Alquileres
Colombia,Cundinamarca,Bogotá D.C.,Usaquén,Cedritos,Usado,167 m²,167 m²,,1.0,3.0,4,,2013,Oficina,Alquiler,$1.018.800,https://bogotarealestate.com.co/oficina-alquiler-cedritos-bogota-dc/7563261,ARRIENDO OFICINA EDIFICIO NORTH POINT,$8.360.000COP,2025-11-08 23:45,Alquileres
Colombia,Cundinamarca,Bogotá D.C.,Usaquén,Cedritos,Usado,108 m²,108 m²,,,2.0,4,,2013,Oficina,Alquiler,$717.300,https://bogotarealestate.com.co/oficina-alquiler-cedritos-bogota-dc/7563233,ARRIENDO OFICINA EDIFICIO NORTH POINT,$5.400.000COP,2025-11-08 23:45,Alquileres
Colombia,Cundinamarca,Bogotá D.C.,Usaquén,Toberín,Usado,1981.56 m²,,1.0,,25.0,4,,2023,Oficina,Alquiler,$27.109.722,https://bogotarealestate.com.co/oficina-alquiler-toberin-bogota-dc/7375495,URBAN 165 OFICINAS EN ARRIENDO ZONA NORTE BO…,$108.985.800COP,2025-11-08 23:45,Alquileres
Colombia,Cundinamarca,Bogotá D.C.,Suba,Britalia Norte,Usado,604 m²,,1.0,,8.0,4,,2023,Oficina,Alquiler,$8.263.324,https://bogotarealestate.com.co/oficina-alquiler-britalia-norte-bogota-dc/7370929,URBAN 165 OFICINAS EN ARRIENDO ZONA NORTE BO…,$33.220.000COP,2025-11-08 23:45,Alquileres
Colombia,Cundinamarca,Bogotá D.C.,Chapinero,Chicó,Usado,48 m²,,,,,5,,2015,Oficina,Alquiler,,https://bogotarealestate.com.co/oficina-alquiler-chico-bogota-dc/7328625,ARRIENDO OFICINA EN EL CHICO,$4.000.000COP,2025-11-08 23:45,Alquileres
Colombia,Cundinamarca,Bogotá D.C.,Antonio Nariño,Retrepo,Usado,290 m²,290 m²,,,,3,1.0,1985,Local,Alquiler,,https://bogotarealestate.com.co/local-alquiler-retrepo-bogota-dc/6906871,LOCAL COMERCIAL BARRIO RESTREPO,$16.000.000COP,2025-11-08 23:45,Alquileres
Colombia,Cundinamarca,Bogotá D.C.,Chapinero,Chicó,Usado,240 m²,,,,,5,,2015,Oficina,Alquiler,,https://bogotarealestate.com.co/oficina-alquiler-chico-bogota-dc/6889894,ARRIENDO OFICINA EN EL CHICO,$14.000.000COP,2025-11-08 23:46,Alquileres
